עגווניה ,🍅
שיבולת אני יודע שאני חופר אבל בבקשה כנס לי לערוץ ותשאיר לי תגובה (הכנתי אותך במיינקראפט השקעתי בזה הרבה מאוד זמן  ),🥺
שיבולת אני יודע שאני חופר אבל בבקשה כנס לי לערוץ ותשאיר לי תגובה (הכנתי אותך במיינקראפט השקעתי בזה הרבה מאוד זמן  ),🙏
סוף סוףףףףףףכמה זמן חיכיתי לזה!,😀
מת על הסרטונים שלך ,👑
מת על הסרטונים שלך ,❤️
מת על הסרטונים שלך ,💖
יש אמון גס חזרתה,☺
יש אמון גס חזרתה,❤
אני הלייק ה,💯
תגובה ראשונה סרטון מטורף ,😘
שיבולת בבקשה תמשיך עם אמונג אס,🙏
שיבולת תעשה סידרת פיקסלמון זה יביא לך לייקים ,💫
שיבולת תעשה סידרת פיקסלמון זה יביא לך לייקים ,🤩
אני אוהב אותך ,♥️
ב-הפרלמנטום עונה 7 מה מסתתר במבוך? ב-1:41 אשכנזי מופיע,🙀
פרק מעמיק ביותר! כל הכבוד מאוד נהנתי! בבקשה תעשה לייב מיינקראפט זה אחד הדברים שאני הכי נהנת בונ&#39;&#39;ב: כל הכיתה שלי מעריצה אותך וגם אני! תמשיך להעלות תוכן! ,😊
זה לא בעיה זה פונקציה זה עוזר,✨
מה המצב שי הצב  אתה יכול בבקשה לשחק את המשחק First person shooter) FPS Chess) זה משחק שנראה לי ממש כיף אולי אתה יכול לשחק בו עם איזה יוטיובר או עם ערים זה לגמרי חינם בסטים ואני ממש רוצה לראות אותך משחק אותו ביוטיוב!!!!!,🐢
מלך  אני הכנתי אותך במיינקרפט בבקשה תיכנס לי לערוץ ותשאיר תגובה בסירטון ,👑
מלך  אני הכנתי אותך במיינקרפט בבקשה תיכנס לי לערוץ ותשאיר תגובה בסירטון ,❤️
תנסה להחדיר למחשב פעם הבאה ראבר דאקי ,😂
שיבולת מישהו צריך להגיד למפתחים שוירוסים יוצרים בקלות עם meterpreter אבל קל לזהות את החתימה,🤪
מר שיבולת הייתי בפסטיבל ברעננה היום אני זאת שאמרה שאתה היוטיובר האוהב עלייה ושהגיעה סוג של מהקריות ,😂
אתה סירטון על האמת מאחורי the backrooms בבקשההההה!!!!!!!!!,🤔
שיבולת לא אמרת לייק וסאב,😨
בבקשה אתה יכול לשחק בסטים culd of the lame יש לו גרסאת דמו והוא ממש כפי בבקשה תנסה אותו ,🙏
מר שיבולת אין עליך ועל התוכן שלך תמשיך ככה ,❤
מת על הסרטונים שלך ,👑
מת על הסרטונים שלך ,❤️
מת על הסרטונים שלך ,💖
אני מעריצה שלך מאוד ויש לך סרטונים ממש טובים,😊
אני מעריצה שלך מאוד ויש לך סרטונים ממש טובים,😁
מלך,👑
אתה מלך ,👑
יא מלך  תעשה עוד פרקים,👑
האקדמיה כבר לא סודית,🧠
האקדמיה כבר לא סודית,🕶
האקדמיה כבר לא סודית,😎
אין עלייךךךךך,👍🏻
אחלה סרטון אשכרה גם הפעם הרוב עבד  אולי תנסה לעשות סדרה למשחק oxygen not included?,😂
אחלה סרטון אשכרה גם הפעם הרוב עבד  אולי תנסה לעשות סדרה למשחק oxygen not included?,😂
בבקשה תעשה סרטון על generation zero ,🥺
בבקשה תעשה סרטון על generation zero ,🙏
אחלה סרטון אשכרה גם הפעם הרוב עבד  אולי תנסה לעשות סדרה למשחק oxygen not included?,😂
היי שי!אני ב2800 לייקים בתגובה שהגבתי לך בסרטון שאתה מנחש כמות צפיות לפני שנתיים!שיא בערוץ בוודאות אם לא ארצי (שהוא לא תגובה שהיוטיובר השאיר) אשמח אם תצמיד לי את התגובה חזרה כמו שהייתה בעבר ,💙
היי שי!אני ב2800 לייקים בתגובה שהגבתי לך בסרטון שאתה מנחש כמות צפיות לפני שנתיים!שיא בערוץ בוודאות אם לא ארצי (שהוא לא תגובה שהיוטיובר השאיר) אשמח אם תצמיד לי את התגובה חזרה כמו שהייתה בעבר ,❣️
אני לא מבין למה הם לא אומרים מולטייוורס מזה קופירייט,😂
איזה כיף לראות סרטון שבו בהתחלה מקבלים התקף קרינג,🥲
מת על הסרטונים שלך ,👑
מת על הסרטונים שלך ,❤️
מת על הסרטונים שלך ,💖
משחק של ריאל נגד פראנקפוטאלללהה מדריד,🤍
משחק של ריאל נגד פראנקפוטאלללהה מדריד,🥳
טלפון משוחלל של סמסונג ,🫱
טלפון משוחלל של סמסונג ,🫲
טלפון משוחלל של סמסונג ,❤️
טלפון משוחלל של סמסונג ,🤔
לייק מי שחשב שהטלפון שלו נכבה בסוף (רק למי שיש samsong יבין ),👇
Intel הציאו לשי נישואין,🥳
למרות שמזל אני אקבל עוד מעט ליומולדת אוקולוס קווסט 2 ,😉
אין אללל הסרטוניםםם שלךךךך,😀
אין אללל הסרטוניםםם שלךךךך,😁
אתה תמיד עם דוד מעניין למה,😏
יא מלךנירשמתי כמנוי והפעלתי את הפעמוןאין כמוך,😘
יא מלךנירשמתי כמנוי והפעלתי את הפעמוןאין כמוך,😊
יא מלךנירשמתי כמנוי והפעלתי את הפעמוןאין כמוך,❤
זה האקרופוליס שיבולת,😂
בקשר לסיפור על המבוך היה היה מלך ושמו היה מינוס למינוס היה בת ומפלצת--ה-מינוטאור--- ובגלל שמינוס היה מלך @#$%&amp;*!? אז הוא כלה את נצר אתנה-האחד והיחיד ה-מלך (שלא רצח את פרדיקס)דאידלוס!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! אז מינוס ה@#$%&amp;*!? אמר לדאידלוססססססססססססססססס!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! לבנות מבוך--- רגע רגע רגע!!!!!!!!!!!!!!!!!!!!!!!!!!!! אם את/ה רוצה לדעת- ת&#39;קרא/י פרסי ג&#39;קסון 4 עדיף את כל הסדרה ----------1גנב הברק-2ים המפלצות-3קללת הטיטאן-4הקרב על המבוך-5תקוות האולימפוס+גיבורי האולימפוס+משפחת קיין+מגנס צ&#39;ייס+ גורלו של אפולו+= בת המעמקיםד&quot;א jelly bee צדק/ה פיטר ג&#39;ונסון המלללללללללללללללללללללללללללללךךךךךךךך!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,👑
בקשר לסיפור על המבוך היה היה מלך ושמו היה מינוס למינוס היה בת ומפלצת--ה-מינוטאור--- ובגלל שמינוס היה מלך @#$%&amp;*!? אז הוא כלה את נצר אתנה-האחד והיחיד ה-מלך (שלא רצח את פרדיקס)דאידלוס!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! אז מינוס ה@#$%&amp;*!? אמר לדאידלוססססססססססססססססס!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! לבנות מבוך--- רגע רגע רגע!!!!!!!!!!!!!!!!!!!!!!!!!!!! אם את/ה רוצה לדעת- ת&#39;קרא/י פרסי ג&#39;קסון 4 עדיף את כל הסדרה ----------1גנב הברק-2ים המפלצות-3קללת הטיטאן-4הקרב על המבוך-5תקוות האולימפוס+גיבורי האולימפוס+משפחת קיין+מגנס צ&#39;ייס+ גורלו של אפולו+= בת המעמקיםד&quot;א jelly bee צדק/ה פיטר ג&#39;ונסון המלללללללללללללללללללללללללללללךךךךךךךך!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,🔱
ממתי באט-פנס דוכף את רובין-ט&#39;ורג&#39; ממממממממנוףנ&#39;ב ערים המלך,👑
ממתי באט-פנס דוכף את רובין-ט&#39;ורג&#39; ממממממממנוףנ&#39;ב ערים המלך,🦧
מה מה קרה!?!?!?! היה ברק! אתה יודע כזה בשמים שעושה אוווווווווווווווור,💡
זה לא דרקון בןזה דרקון בת,👑
זה לא דרקון בןזה דרקון בת,🐲
אוהב אותך כל סרטון שלך מטורף ,🎉
אוהב אותך כל סרטון שלך מטורף ,❤
אני אומר שצריך לקרוא לסדרה הזו בשם &quot;סודות הטריקטוק&quot; מי שמסכים איתי שיתן לייק,👍🏼
תיבה עם צ׳אסט כן… מאוד הגיוני,✨
התיבה על הצאסט,✨
שיי: בואו נתחיל בסרטון*רגע אחד אחר כך אז שנייה לפני שנתחיל בסרטון,😑
בהצלחה במבחנים,♥
לייק בצבע של חתול,😎
לייק בצבע של חתול,😼
לייק בצבע של חתול,😹
לייק בצבע של חתול,😻
אני ממליץ לך לשחק generation zero ,❤
אני ממליץ לך לשחק generation zero ,😃
אני ממליץ לך לשחק generation zero ,👍
אתה אלוף!!!!!!! הסרטונים שלך מה זה טובים!!!!!!!,👑
הסרטונים שלך מעניינים וארים הוא עורך טוב,🙂
מזל טוב(:,🥰
יא מלך!!!! תודה תודה על הכל,😍
יש לי יומולדת יום לפניך!,🎊
מזל טוב,🎉
מזל טוב שי,🥳
דיי שי אתה גורם לי לבכות כשאתה אומר את זה אבל מה שכן אל תפרוש,😭
אני בעד כל מה שאמרתה,🙃
יומולדת שמח מר &quot;שי&quot;בולת מזל טוב!תמשיך להיות חכם ויוטיובר כיפי בהצלחה בדרך שלךושהכל יצליח לך,🍩
יומולדת שמח מר &quot;שי&quot;בולת מזל טוב!תמשיך להיות חכם ויוטיובר כיפי בהצלחה בדרך שלךושהכל יצליח לך,🎂
יומולדת שמח מר &quot;שי&quot;בולת מזל טוב!תמשיך להיות חכם ויוטיובר כיפי בהצלחה בדרך שלךושהכל יצליח לך,🍧
יום הולדת שמח,🙂
תמשיך להיןת גיימר בבקשה ותעשה את מה שאתה רוצה תוך כדאי תהייה בעיקר בפרלמנטום,❤
תעשה מה שאתה אוהב מה אנחנו כבר יכולים להגיד לך? ומזל טוב,🎂
דבר ראשון מזל טוב אתה חוגג יום אחד ליפני ודבר שני אני אומר שתעשה גם את מה שעמרת בסירטון וגם מה שאתה עושה עכשיו,🐓
מזל טוב שי אני מאוד מאוד אוהב את הערוץ שלך ואני צופה בכל הסרטונים ואתה מאוד מצחיק ותמשיך ככה,🤯
מזל טוב שי אני מאוד מאוד אוהב את הערוץ שלך ואני צופה בכל הסרטונים ואתה מאוד מצחיק ותמשיך ככה,🥳
מזל טוב שי אני מאוד מאוד אוהב את הערוץ שלך ואני צופה בכל הסרטונים ואתה מאוד מצחיק ותמשיך ככה,😛
מזל טוב,🥳
תעשה מה את יותר מחובר אליו אני למשל לא יודעת אבל אתה מלה ניסיון אתה בתך ומזל טוב ,🤗
מזל טובאם אתה יכול להסביר/לפרש את דוקי דוקי?,❤️
שובל לא לוטרה,😡
מתיי פורטנייט!?! יש מלא סודות מלא דברים מגניבים בבקשה תחזור לפורטנייט מי שחושב שאני צודק שיתן לתגובה שלי לייק ,👌
מתיי פורטנייט!?! יש מלא סודות מלא דברים מגניבים בבקשה תחזור לפורטנייט מי שחושב שאני צודק שיתן לתגובה שלי לייק ,🙏
מתיי פורטנייט!?! יש מלא סודות מלא דברים מגניבים בבקשה תחזור לפורטנייט מי שחושב שאני צודק שיתן לתגובה שלי לייק ,👍
עוד סרטונים כאלה בקשה,😢
סרטון טוב ומעביר את הזמן תודה שיבולת וערים,🐒
סובלללללל ללללמממממהההה ,😭
וואי שיבולת אני חולהה על קול אוף דיוטי 2 בבקשה תעשה עליו סרטון,🙏
העם דורש עוד פרק של דירוגי פוקימונים עם ערים!!!,🐵
חשבתי שהיא עשתה לך טריק,😂
מעדיף לשאר ילד,😂
מעדיף לשאר ילד,🤡
מלךךךך (דרך אגב מה עם להיות ספונסר של אפל גם אייפון 13 עמיד בים),😜
מלךךךך (דרך אגב מה עם להיות ספונסר של אפל גם אייפון 13 עמיד בים),❤️
חשבתי שאתה מחזיק אותו,🤦
רק אני שמתי לב שזה לא אותו טלפון?,🤔
אתה מצלם מהטלפון שלך,🤦
אתה מעולה והיתי במיינקראפט נגד פורטניט בראיתי שניצחתה אז רק רציתי להגיד לך תודה על הכול,❣
היה סרטון מדהים יאגבר,😎
היה סרטון מדהים יאגבר,😂
היה סרטון מדהים יאגבר,😅
היה סרטון מדהים יאגבר,😍
המתיחה על עידן תשגע אותך עד שלא תעשה אותה&lt;&lt;&lt;&lt;&lt;&lt;&lt;&lt;&lt;&lt;,😉
בבקשה תשחק evil genius 2 ,😀
יאאאאאאאאא זאת הסידרה האהובה עליי נשבעת אני מתההההאני חולה על צבים ועל צבי הנינג׳ההההה תודה יא מלךךךךמייקי הכי טאבבבבב,❤️
יאאאאאאאאא זאת הסידרה האהובה עליי נשבעת אני מתההההאני חולה על צבים ועל צבי הנינג׳ההההה תודה יא מלךךךךמייקי הכי טאבבבבב,🐢
כל תחילת המשחק חשבתי ששיבולת דונטלוווו,🤦
כל תחילת המשחק חשבתי ששיבולת דונטלוווו,😅
שי: הקרש מהבדיחה אני:  עכשיו הבנתי,😂
יש לי את המשחק הזה בגימבוי,😆
ערים כואב לי להגיד את זה אבל שי צודק עכבר זה יונק זה לא מכרסם אתה יכול לבדוק אתה אפילו(סליחה ערים),☹
מר שיבולת לא מבדיל בין חזיר עטלף חחחחח,🤣
מר שיבולת לא מבדיל בין חזיר עטלף חחחחח,😂
יא אלוף איזה כיף שאתה משקיע בסירטונים שלךךךך ישר כוחחח!,😘
יא אלוף איזה כיף שאתה משקיע בסירטונים שלךךךך ישר כוחחח!,🤗
אתה אולי יכול לחזור לפורטנייט,🥺
אני כבר שם מחכה לך רצחחחח ,😁
אחי אני בחול,😔
אחי אני בחול,💔
ב 12 ליולי זה היום הולדת שלי,❤
ב 12 ליולי זה היום הולדת שלי,🎉
התורג&#39; של חבי הוא טוען שהוא עדיין נערון התורג&#39; אז פשות תיבנו קוד על התורג&#39; של חבי ואז הוא לא יוכל להיכנס,🤣
מר שיבולת המתיחה על עידן,🙏
יא אלוף איזה כיף שאתה משקיע בסירטונים שלךךךך ישר כוחחח!,😘
יא אלוף איזה כיף שאתה משקיע בסירטונים שלךךךך ישר כוחחח!,🤗
יא אלוף איזה כיף שאתה משקיע בסירטונים שלךךךך ישר כוחחח!,❤
יא מלך אין כמוךךךך!,❤
אחלה שיבולת שבעולםסרטון מטורף,💙
אחלה שיבולת שבעולםסרטון מטורף,💪
אחלה שיבולת שבעולםסרטון מטורף,🌾
עצוב גם חודש אחרי RIP Technoblade ,😢
עצוב גם חודש אחרי RIP Technoblade ,😭
כמה המחלה החרא הזאת מזיקה דוד שלי מת לפני שבועיים מסרטן,😭
אני הייתי ככ עצובה ששמעתי שהוא נפטר :(,😭
אני מכיר את ההרגשה גם חבר שלי נפטר מזה הוא היה יחסית צעיר רק כיתה ג וכאשר שמעתי שהוא נפטר מזה הרגשתי בדיוק כמו שאתה מרגיש אני אשמח לצטט משהו שאבא שלו אמר לי &quot;לפחות הוא עכשיו הוא נח בשלום ובלי כאב מקווה שזה לא יקרה שוב צר לי על בן המשפחה שלך,😢
אני מכיר את ההרגשה גם חבר שלי נפטר מזה הוא היה יחסית צעיר רק כיתה ג וכאשר שמעתי שהוא נפטר מזה הרגשתי בדיוק כמו שאתה מרגיש אני אשמח לצטט משהו שאבא שלו אמר לי &quot;לפחות הוא עכשיו הוא נח בשלום ובלי כאב מקווה שזה לא יקרה שוב צר לי על בן המשפחה שלך,😭
עצוב מאוד ,💔
איזה עצובבבבבבבבבבבבבבבבבבבבבבבבבבבבבבבבבבבבבבבבבבבבבבבבבבב,☹
איזה עצובבבבבבבבבבבבבבבבבבבבבבבבבבבבבבבבבבבבבבבבבבבבבבבבבבב,😭
זה ממש עצוב,😔
לא נשכח אותו ,🐷
נתגעגע אליך טכנו בלייד,❤
נתגעגע אליך טכנו בלייד,😭
ממש אוהב את התוכן שלך  ותוכל לעשות את הפרק הבא עם ערים?,👍
תיקרא לסדרה דממש דברים מטיקטוק מר שיבולת,👍
תעשה בבקשה סדרה של סוניק בבקשה,❤
לייק וסאב? ברצינות? כבר איחרת את המועד כי אני הייתי מהירה מדי וכבר עשיתי את זה מזמןנבערים יא מלך,👑
לייק וסאב? ברצינות? כבר איחרת את המועד כי אני הייתי מהירה מדי וכבר עשיתי את זה מזמןנבערים יא מלך,😂
לייק וסאב? ברצינות? כבר איחרת את המועד כי אני הייתי מהירה מדי וכבר עשיתי את זה מזמןנבערים יא מלך,🐵
תעשה הסיפור מאחורי בראול סטארס,🎉
עוד סירתון ,❤️‍🔥
עוד סירתון ,🎧
עוד סירתון ,🇮🇱
עוד סירתון ,🎮
מר שיבולת ימלךךךךךךךךךך,🏆
מר שיבולת ימלךךךךךךךךךך,✨
מר שיבולת ימלךךךךךךךךךך,♥️
סרטון מהיר וקולע ממש מעולה,🦔
מר שיבולת אוהב אותך ,💞
אהבנו !אם תרצה לקדם את הסרטון ולהעיף את הצפיות למעלה אנחנו כאן ,🚀
היי שי יש לי יום הולדת אני מבקשת שתנסה לעשות עלי סירטון ליוטיוב בבקשה אוהבת אותך מאוד ,❤️
נכון עברת מלא דברים כמו למשל מפורטניית למיינקרפת והחלק הכי טוב זה שהשגת אותי בתור רשומה לערוץ שלך במשך שנתיים ברציפות ועוד מעט 3 שנים לזכות בי זה דבר קשה מאוד (כל מה שאמרתי על עצמי הוא ציני בטירוף אז לא לקחת ברצינות תודה והמשך יום נעים),🪦
נכון עברת מלא דברים כמו למשל מפורטניית למיינקרפת והחלק הכי טוב זה שהשגת אותי בתור רשומה לערוץ שלך במשך שנתיים ברציפות ועוד מעט 3 שנים לזכות בי זה דבר קשה מאוד (כל מה שאמרתי על עצמי הוא ציני בטירוף אז לא לקחת ברצינות תודה והמשך יום נעים),🥲
נכון עברת מלא דברים כמו למשל מפורטניית למיינקרפת והחלק הכי טוב זה שהשגת אותי בתור רשומה לערוץ שלך במשך שנתיים ברציפות ועוד מעט 3 שנים לזכות בי זה דבר קשה מאוד (כל מה שאמרתי על עצמי הוא ציני בטירוף אז לא לקחת ברצינות תודה והמשך יום נעים),❤
כל הדרך הזאת ועדיין אין מצלמה ,🫠
אני זוכר את הסרטון הזה!!זה היה לפניי ארבע שנים?????כמה זמן עבר,😱
אלכסון זה אסון  אבל כשדוד אומר זה בסדר,🫡
עוד סירטונים בבקשה,😍
עוד סירטונים בבקשה,😁
איזה כיף איתך ועם ערים וגם דוד,😁
אני כאן לפני הצפייה בסרטון ואני אנחשהאוצר האמיתי הוא החברות בינכם,✌
אני כאן לפני הצפייה בסרטון ואני אנחשהאוצר האמיתי הוא החברות בינכם,❤
נכון פטריות זה הכי טוב אפילו mnm אומר: פטריה זה נחמד כשיש סלע ליד ,🙂
נכון פטריות זה הכי טוב אפילו mnm אומר: פטריה זה נחמד כשיש סלע ליד ,🪨
מר שיבולת היקר אתה עושה אוירה טובה שמשמחת את כולםוגם תודה לארים העורך של הסירטונים המהממים שלך,👍
מר שיבולת היקר אתה עושה אוירה טובה שמשמחת את כולםוגם תודה לארים העורך של הסירטונים המהממים שלך,❤
עוד סירטונים בבקשה,😍
עוד סירטונים בבקשה,😁
סוף סוף עוד סירטון איתך מר שיבולת איתנו השיבולים הצופים וערים העורך המוכשר!,😃
שיבוליתתתיאח,💙
שיבוליתתתיאח,🌾
מת עליך מעריך מאוד תמשיך ככה תודה רבה לך מת עליךךךךךךך,😸
מת עליך מעריך מאוד תמשיך ככה תודה רבה לך מת עליךךךךךךך,🤗
מת עליך מעריך מאוד תמשיך ככה תודה רבה לך מת עליךךךךךךך,😥
פיקצ&#39;ו לאאאאא ,😱
רק אני חיקיתי מימיקיו והוא לא הופיע,😅
הקטע עם השלדר,🤣
צ׳ראיזארד פייבורית,😮
צ׳ראיזארד פייבורית,😢
ערים ‏מהנה חיות ,😱
שיבולת אתה מלך!!!!!!!!!!!!!!!!!!!!!!!,👑
אימי,🥖
תודה רבה להרים,🙏
רוצים סרטון אם אולרף,❗
תודה על הסרטון בול נישבר לי המחשב הנייד אני קונה את זה 100% אבל זה קצת יקר (:,😍
וואו אחד הסירטונים הטובים,😼
וואו אחד הסירטונים הטובים,👍
לא היה לי נעים היה 999 לייקים ולחצתי על לייק ,😅
וואו ערים הרס לך את החיים,😂
אני כל כך אוהב אותך ואת ארים יש לכם כימיה מצוינת וזה פשוט כיף לצפות בכם ביחד ושאני לא אדבר על מה שקרה במעלית,🤣
מלך,👑
אחלה שיבולית יאח,🌾
תרשום את המשחק ברובלוקס הזה NEW CODE המשחק הראשון בתמונה בלי הצבע הסגול זה שלידו מקווה שתיכנס למשחק הזה ותעשה סרטון אוהב אותך סאב לייק ופעמון ביי,🙏🏻
תרשום את המשחק ברובלוקס הזה NEW CODE המשחק הראשון בתמונה בלי הצבע הסגול זה שלידו מקווה שתיכנס למשחק הזה ותעשה סרטון אוהב אותך סאב לייק ופעמון ביי,😁
מה מסתבר שערים לא הרג אותך,😱
לפני שאני אפילו שוקלת לראות את הסרטון פוקימון לא מעניין לי את התחת של הסבתאעדיף מיינקראפט או פנאף הייתי רוצה לשמוע עוד תיאוריות על הסיפור של פנאף או יותר טוב לראות אותך צורח כמו ילדה קטנה,👹
לפני שאני אפילו שוקלת לראות את הסרטון פוקימון לא מעניין לי את התחת של הסבתאעדיף מיינקראפט או פנאף הייתי רוצה לשמוע עוד תיאוריות על הסיפור של פנאף או יותר טוב לראות אותך צורח כמו ילדה קטנה,🥱
מר שיבולת יש עונה חדשה בפורטנייט עונה 3 חלק 3 אני אשמח עם תעלה סרטון ביי ,❤️
אוהב אותך ,❤
אני סבסקריברית ואתה עדיין לא איפשרת לי לראות את הכבשה ,😢
חמישים אחוז לא מנויים ולכן רוב הסיכויים שאנחנו לא?,🤣
אתה לא הייתה העונה 5 הגתה רק בעונה 6 חחחחחחחחחחחחחחח,🤣
אתה לא הייתה העונה 5 הגתה רק בעונה 6 חחחחחחחחחחחחחחח,😂
אמרת בהתחלה שרוב הסיכויים שאנחנו לא רשומים לערוץ אבל זה לא נכון נגיד שיש לך בדיוק 50% רשומים אז יש סיכוי של 1 ל 2 שכל אחד פה רשום אז זה לא רוב הסיכויים זה סיוכי שווה ,🙄
